Data; Wartość kWh;Rodzaj;
27.03.2022 1:00;0,223;pobór;
27.03.2022 2:00;0,222;pobór;
27.03.2022 4:00;0,247;pobór;
27.03.2022 5:00;0,239;pobór;
27.03.2022 6:00;0,233;pobór;
27.03.2022 7:00;0,247;pobór;
27.03.2022 8:00;0,082;pobór;
27.03.2022 9:00;0,000;pobór;
27.03.2022 10:00;0,000;pobór;
27.03.2022 11:00;0,000;pobór;
27.03.2022 12:00;0,000;pobór;
27.03.2022 13:00;0,000;pobór;
27.03.2022 14:00;0,000;pobór;
27.03.2022 15:00;0,000;pobór;
27.03.2022 16:00;0,000;pobór;
27.03.2022 17:00;0,000;pobór;
27.03.2022 18:00;0,000;pobór;
27.03.2022 19:00;0,131;pobór;
27.03.2022 20:00;0,251;pobór;
27.03.2022 21:00;0,851;pobór;
27.03.2022 22:00;1,002;pobór;
27.03.2022 23:00;0,616;pobór;
27.03.2022 24:00;0,306;pobór;
27.03.2022 1:00;0,000;oddanie;
27.03.2022 2:00;0,000;oddanie;
27.03.2022 4:00;0,000;oddanie;
27.03.2022 5:00;0,000;oddanie;
27.03.2022 6:00;0,000;oddanie;
27.03.2022 7:00;0,000;oddanie;
27.03.2022 8:00;0,044;oddanie;
27.03.2022 9:00;0,360;oddanie;
27.03.2022 10:00;1,052;oddanie;
27.03.2022 11:00;2,660;oddanie;
27.03.2022 12:00;3,250;oddanie;
27.03.2022 13:00;3,650;oddanie;
27.03.2022 14:00;3,760;oddanie;
27.03.2022 15:00;3,605;oddanie;
27.03.2022 16:00;3,117;oddanie;
27.03.2022 17:00;2,212;oddanie;
27.03.2022 18:00;0,606;oddanie;
27.03.2022 19:00;0,059;oddanie;
27.03.2022 20:00;0,000;oddanie;
27.03.2022 21:00;0,000;oddanie;
27.03.2022 22:00;0,000;oddanie;
27.03.2022 23:00;0,000;oddanie;
27.03.2022 24:00;0,000;oddanie;
