Data; Wartość kWh;Rodzaj;
2021-10-15 1:00;0,396;pobór;
2021-10-15 3:00;0,261;pobór;
2021-10-15 4:00;0,260;pobór;
2021-10-15 5:00;0,263;pobór;
2021-10-15 6:00;0,255;pobór;
2021-10-15 7:00;0,259;pobór;
2021-10-15 8:00;0,555;pobór;
2021-10-15 9:00;0,660;pobór;
2021-10-15 10:00;0,146;pobór;
2021-10-15 11:00;0,170;pobór;
2021-10-15 12:00;0,001;pobór;
2021-10-15 13:00;0,000;pobór;
2021-10-15 14:00;0,000;pobór;
2021-10-15 15:00;0,107;pobór;
2021-10-15 16:00;0,002;pobór;
2021-10-15 17:00;0,070;pobór;
2021-10-15 18:00;0,271;pobór;
2021-10-15 19:00;0,277;pobór;
2021-10-15 20:00;0,284;pobór;
2021-10-15 21:00;0,259;pobór;
2021-10-15 22:00;0,262;pobór;
2021-10-15 23:00;0,267;pobór;
2021-10-15 24:00;0,267;pobór;
2021-10-16 1:00;0,265;pobór;
2021-10-16 2:00;0,272;pobór;
2021-10-16 3:00;0,270;pobór;
2021-10-16 4:00;0,269;pobór;
2021-10-16 5:00;0,259;pobór;
2021-10-16 6:00;0,263;pobór;
2021-10-16 7:00;0,263;pobór;
2021-10-16 8:00;0,247;pobór;
2021-10-16 9:00;0,047;pobór;
2021-10-16 10:00;0,000;pobór;
2021-10-16 11:00;0,000;pobór;
2021-10-16 12:00;0,005;pobór;
2021-10-16 13:00;0,033;pobór;
2021-10-16 14:00;0,003;pobór;
2021-10-16 15:00;0,005;pobór;
2021-10-16 16:00;0,034;pobór;
2021-10-16 17:00;0,075;pobór;
2021-10-16 18:00;0,285;pobór;
2021-10-16 19:00;0,275;pobór;
2021-10-16 20:00;0,269;pobór;
2021-10-16 21:00;0,261;pobór;
2021-10-16 22:00;0,270;pobór;
2021-10-16 23:00;0,264;pobór;
2021-10-16 24:00;0,265;pobór;
2021-10-17 1:00;0,266;pobór;
2021-10-17 2:00;0,269;pobór;
2021-10-17 3:00;0,271;pobór;
2021-10-17 4:00;0,268;pobór;
2021-10-17 5:00;0,265;pobór;
2021-10-17 6:00;0,267;pobór;
2021-10-17 7:00;0,299;pobór;
2021-10-17 8:00;0,219;pobór;
2021-10-17 9:00;0,056;pobór;
2021-10-17 10:00;0,000;pobór;
2021-10-17 11:00;0,000;pobór;
2021-10-17 12:00;0,000;pobór;
2021-10-17 13:00;0,000;pobór;
2021-10-17 14:00;0,000;pobór;
2021-10-17 15:00;0,000;pobór;
2021-10-17 16:00;0,006;pobór;
2021-10-17 17:00;0,000;pobór;
2021-10-17 18:00;0,199;pobór;
2021-10-17 19:00;0,274;pobór;
2021-10-17 20:00;0,280;pobór;
2021-10-17 21:00;1,092;pobór;
2021-10-17 22:00;1,830;pobór;
2021-10-17 23:00;0,487;pobór;
2021-10-17 24:00;0,345;pobór;
2021-10-18 1:00;0,360;pobór;
2021-10-18 2:00;0,272;pobór;
2021-10-18 3:00;0,270;pobór;
2021-10-18 4:00;0,256;pobór;
2021-10-18 5:00;0,245;pobór;
2021-10-18 6:00;0,920;pobór;
2021-10-18 7:00;0,746;pobór;
2021-10-18 8:00;0,484;pobór;
2021-10-18 9:00;0,390;pobór;
2021-10-18 10:00;0,142;pobór;
2021-10-18 11:00;0,190;pobór;
2021-10-18 12:00;0,105;pobór;
2021-10-18 13:00;0,095;pobór;
2021-10-18 14:00;0,161;pobór;
2021-10-18 15:00;0,344;pobór;
2021-10-18 16:00;0,401;pobór;
2021-10-18 17:00;0,760;pobór;
2021-10-18 18:00;1,055;pobór;
2021-10-18 19:00;0,641;pobór;
2021-10-18 20:00;0,565;pobór;
2021-10-18 21:00;0,541;pobór;
2021-10-18 22:00;1,008;pobór;
2021-10-18 23:00;0,909;pobór;
2021-10-18 24:00;0,499;pobór;
2021-10-19 1:00;0,405;pobór;
2021-10-19 2:00;0,277;pobór;
2021-10-19 3:00;0,272;pobór;
2021-10-19 4:00;0,260;pobór;
2021-10-19 5:00;0,256;pobór;
2021-10-19 6:00;0,600;pobór;
2021-10-19 7:00;0,445;pobór;
2021-10-19 8:00;0,692;pobór;
2021-10-19 9:00;0,151;pobór;
2021-10-19 10:00;0,014;pobór;
2021-10-19 11:00;0,000;pobór;
2021-10-19 12:00;0,000;pobór;
2021-10-19 13:00;0,000;pobór;
2021-10-19 14:00;0,000;pobór;
2021-10-19 15:00;0,000;pobór;
2021-10-19 16:00;0,052;pobór;
2021-10-19 17:00;0,305;pobór;
2021-10-19 18:00;0,692;pobór;
2021-10-19 19:00;1,139;pobór;
2021-10-19 20:00;1,083;pobór;
2021-10-19 21:00;0,590;pobór;
2021-10-19 22:00;0,536;pobór;
2021-10-19 23:00;0,368;pobór;
2021-10-19 24:00;0,297;pobór;
2021-10-20 1:00;0,247;pobór;
2021-10-20 2:00;0,257;pobór;
2021-10-20 3:00;0,254;pobór;
2021-10-20 4:00;0,252;pobór;
2021-10-20 5:00;0,244;pobór;
2021-10-20 6:00;0,309;pobór;
2021-10-20 7:00;1,068;pobór;
2021-10-20 8:00;0,523;pobór;
2021-10-20 9:00;0,054;pobór;
2021-10-20 10:00;0,000;pobór;
2021-10-20 11:00;0,000;pobór;
2021-10-20 12:00;0,000;pobór;
2021-10-20 13:00;0,000;pobór;
2021-10-20 14:00;0,001;pobór;
2021-10-20 15:00;0,059;pobór;
2021-10-20 16:00;0,034;pobór;
2021-10-20 17:00;0,032;pobór;
2021-10-20 18:00;0,381;pobór;
2021-10-20 19:00;0,619;pobór;
2021-10-20 20:00;0,932;pobór;
2021-10-20 21:00;0,784;pobór;
2021-10-20 22:00;0,570;pobór;
2021-10-20 23:00;0,551;pobór;
2021-10-20 24:00;0,421;pobór;
2021-10-21 1:00;0,255;pobór;
2021-10-21 2:00;0,242;pobór;
2021-10-21 3:00;0,246;pobór;
2021-10-21 4:00;0,256;pobór;
2021-10-21 5:00;0,255;pobór;
2021-10-21 6:00;0,310;pobór;
2021-10-21 7:00;0,824;pobór;
2021-10-21 8:00;0,331;pobór;
