Data; Wartość kWh;Rodzaj;
15.10.2021 1:00;0.396;pobór;
15.10.2021 2:00;0.273;pobór;
15.10.2021 3:00;0.261;pobór;
15.10.2021 4:00;0.260;pobór;
15.10.2021 5:00;0.263;pobór;
15.10.2021 6:00;0.255;pobór;
15.10.2021 7:00;0.259;pobór;
15.10.2021 8:00;0.555;pobór;
15.10.2021 9:00;0.660;pobór;
15.10.2021 10:00;0.146;pobór;
15.10.2021 11:00;0.170;pobór;
15.10.2021 12:00;0.001;pobór;
15.10.2021 13:00;0.000;pobór;
15.10.2021 14:00;0.000;pobór;
15.10.2021 15:00;0.107;pobór;
15.10.2021 16:00;0.002;pobór;
15.10.2021 17:00;0.070;pobór;
15.10.2021 18:00;0.271;pobór;
15.10.2021 19:00;0.277;pobór;
15.10.2021 20:00;0.284;pobór;
15.10.2021 21:00;0.259;pobór;
15.10.2021 22:00;0.262;pobór;
15.10.2021 23:00;0.267;pobór;
15.10.2021 24:00;0.267;pobór;
16.10.2021 1:00;0.265;pobór;
16.10.2021 2:00;0.272;pobór;
16.10.2021 3:00;0.270;pobór;
16.10.2021 4:00;0.269;pobór;
16.10.2021 5:00;0.259;pobór;
16.10.2021 6:00;0.263;pobór;
16.10.2021 7:00;0.263;pobór;
16.10.2021 8:00;0.247;pobór;
16.10.2021 9:00;0.047;pobór;
16.10.2021 10:00;0.000;pobór;
16.10.2021 11:00;0.000;pobór;
16.10.2021 12:00;0.005;pobór;
16.10.2021 13:00;0.033;pobór;
16.10.2021 14:00;0.003;pobór;
16.10.2021 15:00;0.005;pobór;
16.10.2021 16:00;0.034;pobór;
16.10.2021 17:00;0.075;pobór;
16.10.2021 18:00;0.285;pobór;
16.10.2021 19:00;0.275;pobór;
16.10.2021 20:00;0.269;pobór;
16.10.2021 21:00;0.261;pobór;
16.10.2021 22:00;0.270;pobór;
16.10.2021 23:00;0.264;pobór;
16.10.2021 24:00;0.265;pobór;
17.10.2021 1:00;0.266;pobór;
17.10.2021 2:00;0.269;pobór;
17.10.2021 3:00;0.271;pobór;
17.10.2021 4:00;0.268;pobór;
17.10.2021 5:00;0.265;pobór;
17.10.2021 6:00;0.267;pobór;
17.10.2021 7:00;0.299;pobór;
17.10.2021 8:00;0.219;pobór;
17.10.2021 9:00;0.056;pobór;
17.10.2021 10:00;0.000;pobór;
17.10.2021 11:00;0.000;pobór;
17.10.2021 12:00;0.000;pobór;
17.10.2021 13:00;0.000;pobór;
17.10.2021 14:00;0.000;pobór;
17.10.2021 15:00;0.000;pobór;
17.10.2021 16:00;0.006;pobór;
17.10.2021 17:00;0.000;pobór;
17.10.2021 18:00;0.199;pobór;
17.10.2021 19:00;0.274;pobór;
17.10.2021 20:00;0.280;pobór;
17.10.2021 21:00;1.092;pobór;
17.10.2021 22:00;1.830;pobór;
17.10.2021 23:00;0.487;pobór;
17.10.2021 24:00;0.345;pobór;
19.10.2021 1:00;0.405;pobór;
19.10.2021 2:00;0.277;pobór;
19.10.2021 3:00;0.272;pobór;
19.10.2021 4:00;0.260;pobór;
19.10.2021 5:00;0.256;pobór;
19.10.2021 6:00;0.600;pobór;
19.10.2021 7:00;0.445;pobór;
19.10.2021 8:00;0.692;pobór;
19.10.2021 9:00;0.151;pobór;
19.10.2021 10:00;0.014;pobór;
19.10.2021 11:00;0.000;pobór;
19.10.2021 12:00;0.000;pobór;
19.10.2021 13:00;0.000;pobór;
19.10.2021 14:00;0.000;pobór;
19.10.2021 15:00;0.000;pobór;
19.10.2021 16:00;0.052;pobór;
19.10.2021 17:00;0.305;pobór;
19.10.2021 18:00;0.692;pobór;
19.10.2021 19:00;1.139;pobór;
19.10.2021 20:00;1.083;pobór;
19.10.2021 21:00;0.590;pobór;
19.10.2021 22:00;0.536;pobór;
19.10.2021 23:00;0.368;pobór;
19.10.2021 24:00;0.297;pobór;
20.10.2021 1:00;0.247;pobór;
20.10.2021 2:00;0.257;pobór;
20.10.2021 3:00;0.254;pobór;
20.10.2021 4:00;0.252;pobór;
20.10.2021 5:00;0.244;pobór;
20.10.2021 6:00;0.309;pobór;
20.10.2021 7:00;1.068;pobór;
20.10.2021 8:00;0.523;pobór;
20.10.2021 9:00;0.054;pobór;
20.10.2021 10:00;0.000;pobór;
20.10.2021 11:00;0.000;pobór;
20.10.2021 12:00;0.000;pobór;
20.10.2021 13:00;0.000;pobór;
20.10.2021 14:00;0.001;pobór;
20.10.2021 15:00;0.059;pobór;
20.10.2021 16:00;0.034;pobór;
20.10.2021 17:00;0.032;pobór;
20.10.2021 18:00;0.381;pobór;
20.10.2021 19:00;0.619;pobór;
20.10.2021 20:00;0.932;pobór;
20.10.2021 21:00;0.784;pobór;
20.10.2021 22:00;0.570;pobór;
20.10.2021 23:00;0.551;pobór;
20.10.2021 24:00;0.421;pobór;
21.10.2021 1:00;0.255;pobór;
21.10.2021 2:00;0.242;pobór;
21.10.2021 3:00;0.246;pobór;
21.10.2021 4:00;0.256;pobór;
21.10.2021 5:00;0.255;pobór;
21.10.2021 6:00;0.310;pobór;
21.10.2021 7:00;0.824;pobór;
21.10.2021 8:00;0.331;pobór;
21.10.2021 9:00;0.342;pobór;
21.10.2021 10:00;0.020;pobór;
21.10.2021 11:00;0.000;pobór;
21.10.2021 12:00;0.001;pobór;
21.10.2021 13:00;0.011;pobór;
21.10.2021 14:00;0.102;pobór;
21.10.2021 15:00;0.256;pobór;
21.10.2021 16:00;0.361;pobór;
21.10.2021 17:00;0.182;pobór;
21.10.2021 18:00;0.583;pobór;
21.10.2021 19:00;0.618;pobór;
21.10.2021 20:00;0.923;pobór;
21.10.2021 21:00;0.465;pobór;
21.10.2021 22:00;0.418;pobór;
